time,x,y,z
16536,-.010,-.045,.043
16550,.037,-.028,.022
16570,.002,-.035,.019
16589,-.071,-.037,.024
16610,-.132,-.046,.026
16629,-.146,-.039,.031
16647,-.153,-.031,.041
16666,-.198,-.027,.048
16687,-.197,-.035,.058
16708,-.108,-.018,.065
16723,-.034,.018,.069
16747,-.047,.027,.075
16766,-.126,.026,.093
16785,-.169,.017,.109
16804,-.132,.015,.105
16827,-.070,.040,.096
16844,-.076,.046,.092
16863,-.100,.033,.074
16882,-.103,.043,.036
16901,-.098,.038,.022
16921,-.056,.038,.025
16941,.001,.064,.011
16961,-.022,.068,.003
16978,-.093,.059,.003
17013,-.105,.045,-.005
17019,-.038,.054,-.007
17036,-.021,.060,-.003
17059,-.059,.049,-.005
17076,-.137,.040,.000
17096,-.204,.004,.004
17114,-.203,-.002,-.003
17134,-.188,.045,-.023
17161,-.177,.026,-.016
17180,-.103,.046,.000
17202,-.016,.064,-.005
17216,-.007,.060,-.003
17232,-.058,.057,.015
17257,-.142,.039,.031
17273,-.160,.013,.036
17298,-.114,.038,.020
17319,-.066,.039,.020
17331,-.039,.040,.034
17348,-.067,.045,.030
17371,-.113,.011,.030
17388,-.103,.006,.037
17416,-.080,.001,.042
17431,-.082,-.016,.061
17447,-.097,-.043,.092
17468,-.115,-.046,.102
17493,-.136,-.061,.094
17506,-.154,-.076,.094
17525,-.154,-.038,.099
17549,-.148,-.002,.124
17564,-.133,.027,.155
17590,-.104,.037,.166
17603,-.065,.055,.124
17621,-.059,.060,.063
17642,-.087,.065,.041
17666,-.105,.060,.037
17688,-.082,.056,.017
17702,-.038,.062,.004
17719,-.006,.062,.017
17738,-.018,.054,.027
17759,-.060,.034,.025
17780,-.064,.016,.016
17798,-.015,.009,.006
17821,.018,.005,.008
17839,-.006,-.006,.026
17859,-.034,-.031,.034
17874,-.045,-.035,.021
17893,-.020,-.044,.014
17915,.008,-.039,.024
17937,.010,-.053,.017
17955,-.029,-.060,-.003
17973,-.066,-.078,-.019
17991,-.065,-.082,-.034
18024,-.025,-.072,-.044
18030,.006,-.060,-.042
18057,.024,-.053,-.029
