time,x,y,z
14884,.003,.016,.021
14902,.005,.011,.017
14927,.003,.007,.018
14947,.004,.004,.020
14964,.015,-.004,.017
14981,.027,-.009,.014
15001,.012,-.014,.009
15025,-.002,-.025,.004
15046,-.014,-.022,-.004
15068,-.006,-.024,-.012
15082,.008,-.017,-.019
15100,.020,-.012,-.032
15130,.033,-.007,-.035
15139,.028,-.007,-.034
15164,.011,-.017,-.033
15180,.009,-.020,-.033
15201,.001,.015,-.013
15231,.062,.099,-.001
15243,.055,.378,.018
15260,-.013,.688,.016
15281,.223,.383,-.127
15299,.632,.087,-.201
15334,1.470,-.018,.220
15338,-1.492,1.102,-.237
15364,-1.959,-.959,-.209
15379,.102,-.037,-.419
15400,1.360,.743,-.804
15427,.113,.095,-.559
15439,-.072,-.215,-.193
15464,.456,-.138,.105
15475,-.129,-.182,.126
15497,-.986,-.359,.313
15520,-1.207,-.228,.191
15535,-.682,-.211,.081
15554,.139,-.087,.112
15574,.197,-.069,.136
15593,-.063,-.096,.102
15615,-.085,-.075,.103
15633,-.060,-.051,.108
15653,-.040,.005,.076
15673,-.008,.131,.051
15693,.082,.274,.033
15716,.413,.424,.060
15733,.807,.549,.089
15760,.991,.401,-.085
15776,.811,.157,-.008
15796,-.882,.726,-.636
15818,-2.476,-.548,-.508
15837,-1.090,-.582,-.054
15858,.640,-.081,-.278
15875,.934,.084,-.452
15896,.622,-.333,-.136
15915,.682,-.469,.249
15944,.340,-.388,.172
15963,-.508,-.470,.383
15983,-.997,-.360,.347
16006,-.436,-.196,.042
16015,.414,.131,.293
16041,.700,.209,.112
16056,.372,.209,.043
16076,-.041,.191,.049
16095,-.118,.179,.056
16116,-.236,.162,.018
16134,-.286,.137,-.013
16160,-.227,.120,-.005
16174,-.135,.091,-.005
16199,-.041,.059,.016
16228,-.007,.046,.031
16235,-.019,.024,.047
16260,-.022,.005,.075
16278,-.038,-.004,.106
16294,-.046,-.039,.130
16317,-.033,-.058,.164
16333,-.060,-.074,.164
16357,-.056,-.097,.165
16379,-.062,-.091,.160
16399,-.095,-.084,.147
16425,-.051,-.085,.130
16431,-.024,-.098,.126
16451,.005,-.097,.128
16473,.018,-.107,.122
16493,.026,-.116,.122
16519,.043,-.123,.126
16539,.038,-.127,.132
16552,.042,-.138,.142
16576,.075,-.120,.149
16593,.069,-.111,.138
16613,.038,-.081,.114
16636,.006,-.051,.072
16656,.011,-.031,.027
16672,.051,.007,-.013
16694,.014,.026,-.052
16714,-.012,.042,-.078
16745,-.018,.048,-.083
16752,-.023,.046,-.071
16774,-.030,.043,-.050
16793,-.019,.042,-.034
16814,-.002,.044,-.026
16833,-.021,.052,-.032
16853,-.023,.042,-.027
16873,-.019,.040,-.021
16894,-.021,.033,-.023
16915,.004,.021,-.022
16933,.026,.020,-.022
16952,.016,.016,-.032
16980,.016,.018,-.027
16998,.023,.009,-.028
17021,.028,.002,-.026
17032,.022,.000,-.024
17052,.012,.000,-.023
17070,.015,.010,-.022
17098,.032,.007,-.027
17117,.044,.007,-.026
17137,.042,.002,-.027
17151,.020,-.004,-.015
17177,-.012,.000,-.005
17195,-.019,.009,.003
17210,-.013,.018,.010
17231,.005,.031,.021
17256,.005,.037,.025
17274,.014,.027,.026
17295,.031,.036,.021
17314,.033,.031,.014
17339,.012,.029,.009
17353,.009,.024,.006
17374,-.002,.024,.007
17388,-.007,.025,.010
17408,-.030,.014,.009
17429,-.032,.009,.005
17446,-.010,-.002,.004
17466,.015,-.003,.012
17486,.023,-.001,.029
17516,.005,-.002,.042
