time,x,y,z
10662,.404,.133,-1.088
10682,1.107,-.412,-2.187
10706,.675,-1.280,-3.455
10724,.847,-1.353,-1.169
10748,1.610,1.299,2.231
10760,-4.766,1.778,20.095
10788,-3.375,4.737,-7.013
10805,.297,-2.183,-.078
10841,2.987,-4.055,-3.838
10844,-.042,1.138,2.771
10862,-3.788,2.999,5.269
10881,-.660,-1.892,.783
10906,1.216,-.604,-1.362
10931,.440,3.093,.522
10942,-.256,1.842,.259
10960,.739,.982,-1.127
10981,.706,-3.666,-3.518
11002,.196,.215,-1.313
11030,-.282,.508,.194
11041,.021,-.108,.084
11060,-.039,-.486,-.421
11085,.262,-.192,-.555
11106,.802,-.188,-1.321
11126,1.072,-1.730,-3.887
11141,1.080,-1.759,-2.511
11163,.951,-.361,2.159
11180,.347,2.713,1.444
11199,-4.754,5.615,15.886
11225,-3.121,.690,-8.606
11245,3.954,-5.263,-3.435
11264,2.644,-.667,-1.108
11279,-2.908,2.958,4.411
11299,-2.611,.393,4.049
11322,.401,-1.892,-.865
11345,.987,2.662,-.819
11363,-.192,4.014,2.157
11379,.992,1.261,-1.109
11401,.629,-4.791,-3.856
11425,.995,-.057,-2.167
11438,-.940,.866,-.307
11463,.054,.404,-.010
11477,-.329,.141,.003
11497,-.403,-.091,.612
11522,-.292,-.225,.427
11540,.163,-.060,.262
11556,.170,.206,.142
11578,.013,.127,.132
11599,.062,.151,.251
11621,-.002,.485,.221
11639,.059,.333,.187
11657,.092,.128,-.019
11678,.041,.276,-.076
11698,-.103,.171,.405
11721,-.042,-.065,.332
11743,.017,.020,.244
11763,.107,.036,.309
11783,.150,-.029,-.254
11806,.053,.138,-.148
11829,-.002,.160,.315
11838,.159,.095,.308
11856,.169,.289,-.027
11877,-.075,.226,-.017
11896,.044,.259,-.160
11927,.042,.236,-.063
11939,.055,.273,-.066
11961,-.006,.294,-.152
11976,-.006,.257,.052
11995,.029,.181,.198
12017,.017,.102,.405
12037,.106,.140,.243
12060,.086,.096,.240
12083,.073,.127,.195
12101,.140,.157,.097
12127,.083,-.033,.288
12134,.167,-.051,.177
12156,.151,-.059,-.111
12175,.112,-.053,.185
12202,.068,-.004,.078
12225,.057,.128,.075
12235,.022,.251,-.084
12256,-.003,-.025,.094
12273,-.048,.063,-.038
12300,-.110,.206,-.143
12322,-.066,.139,.121
12334,-.103,.171,.015
12352,-.123,.157,-.125
12374,.093,.258,-.297
12396,.072,.210,-.298
12426,.216,.153,-.154
12435,.208,.005,-.029
12458,.184,-.000,.009
12473,.115,-.112,.120
12494,.071,-.043,.357
12513,-.071,.103,.438
12533,-.005,.071,.234
12554,.098,-.022,.207
12573,.152,.020,.247
12592,.076,.028,.253
12613,.050,.095,.152
12633,.001,.037,.059
12653,.041,-.098,-.003
12674,.002,-.165,-.039
12692,-.069,.002,-.144
12714,-.015,.193,-.265
12734,-.029,.209,-.307
12752,.105,.020,-.158
12772,.053,.027,.166
12803,.024,.058,.119
12812,.017,.120,.004
12833,-.063,.147,.074
12859,.044,.035,.205
12876,.197,-.090,.281
12890,.811,-.199,-.227
12920,1.373,.355,-2.199
12936,.167,1.155,-4.870
12955,-1.891,-3.584,-3.137
12975,2.469,-3.610,.219
12991,-1.794,-2.894,9.786
13012,-3.882,7.432,-2.325
13037,-.726,.028,-1.794
13055,3.207,-3.091,-2.151
13078,-.762,1.749,4.525
13096,-2.350,-.289,3.810
13112,-.848,-.181,.044
13137,1.983,.580,-.803
13151,.179,3.138,.923
13176,-.030,1.256,.050
13188,.988,.303,-1.833
13214,.605,-1.994,-3.086
13236,-.535,1.147,-1.180
13257,-.421,.433,-.097
13276,-.225,.087,.272
13296,-.050,-.679,.232
13319,.115,-.897,-.382
13331,1.248,-.200,-1.613
13355,.854,.167,-2.464
13372,.013,-1.584,-2.002
13389,1.408,-2.721,-1.794
13408,-.864,-2.201,4.990
13430,-.471,6.346,2.190
13453,-2.379,-.873,-1.329
13470,4.062,-3.480,-3.152
13493,-.258,2.192,2.652
13515,-3.318,1.178,6.117
13528,.100,-1.503,.264
13547,-.845,1.420,1.061
13566,.871,2.488,-.238
13586,1.856,3.277,.086
13607,.551,-.412,-3.401
13628,2.368,-.567,-4.086
13647,-.794,.545,-1.471
13667,-.394,.859,-.067
13688,-.555,-.079,.639
13707,-.312,-.824,.423
13729,-.289,-.742,.067
13750,-.033,-.273,-.140
13770,.131,.112,.103
13791,.044,.074,.322
13806,.141,.204,.458
13828,.217,.478,.089
13853,.042,.391,-.216
13874,.256,.396,-.244
13893,-.002,.104,-.409
13912,.114,.113,.014
13925,.000,.177,.162
13951,-.023,-.007,.200
13965,.093,.132,-.020
13991,.073,.088,.022
14005,.142,-.046,.070
14030,.174,.062,-.055
14049,.075,-.001,.184
14066,.082,.104,.269
14087,.037,.316,.116
14109,-.006,.431,-.171
14127,.022,.398,-.228
14145,.133,.218,-.225
14172,.022,.137,.152
14184,.064,.373,.254
14203,-.001,.216,.157
14226,.104,.154,.096
14250,.115,.057,-.014
14270,.104,.145,-.083
14290,.111,.157,-.117
14305,.056,.133,-.030
14335,.220,.178,.030
14345,.128,.228,-.031
14369,.099,.252,-.031
14384,.128,.208,-.045
14404,.159,.183,.118
14431,.048,.068,.067
14444,-.074,-.072,.088
14468,-.064,.076,.030
14484,.001,.200,-.022
14503,.069,.196,.108
14526,.040,.020,.136
14549,.059,-.082,.090
14562,-.002,-.069,-.084
14583,.090,.013,.044
14603,.071,.174,.038
14623,.086,.024,-.047
14645,.081,-.085,-.022
14665,.047,-.048,-.147
14683,.028,.069,-.082
14705,.079,.054,-.223
14725,.024,.091,-.146
14745,.030,.085,-.031
14774,.043,.039,.039
14783,-.030,-.028,.125
14805,.063,.038,.088
14825,.073,.137,-.049
14843,.059,.181,.096
14869,-.027,.122,.162
14884,.033,.066,.166
14903,.061,.188,.022
14928,.116,.103,.030
14949,.154,.159,-.022
14965,.157,.035,.044
14981,.141,.121,.131
15001,.097,.004,.066
15026,.135,-.019,.064
15047,.117,.035,-.017
15067,.155,.082,-.123
15081,.138,.036,-.007
15102,.108,.017,.137
15132,.080,.005,.109
15140,.012,.129,-.061
15166,-.028,.253,-.035
15180,-.008,.043,-.039
15200,.047,.106,-.037
15230,.235,.059,-.128
15245,.594,.227,-1.133
15261,1.185,.514,-2.305
15280,.459,.212,-6.721
15300,-1.901,-3.611,-1.967
15334,3.299,-1.234,2.932
15341,-1.311,1.964,16.242
15365,-4.926,7.224,-3.317
15380,-.236,-2.945,-4.848
15399,3.737,-4.608,-2.143
15428,-.849,1.404,5.497
15441,-3.371,.969,4.572
15465,-1.262,-2.144,-.177
15478,2.519,1.626,-.708
15498,.147,3.603,.917
15522,.229,2.369,.464
15538,.744,-.494,-2.048
15559,.919,-2.838,-3.486
15579,-.358,.115,-.567
15596,-.098,.522,.246
15620,.130,.046,-.042
15639,.105,-.105,.001
15658,.100,.151,-.123
15678,.506,-.034,-.665
15697,.752,-.345,-1.071
15721,.682,-.818,-2.564
15738,.978,-1.032,-2.505
15765,.193,-1.434,-2.733
15778,1.552,-.239,.037
15796,.720,2.843,1.708
15819,-3.853,6.814,15.441
15838,-3.322,-1.451,-7.257
15857,4.373,-4.086,-.985
15877,.456,-.354,-.210
15897,-2.816,.733,6.124
15918,-.874,.654,2.338
15944,-.051,-.239,-1.077
15963,.608,2.347,-.796
15983,.133,4.305,3.156
16005,.584,-.358,-2.669
16018,3.012,-4.128,-6.051
16043,-.542,.460,-2.915
16057,-.828,.387,-1.259
16076,-.254,.155,-.191
16096,-.424,-.162,.248
16117,-.346,-.142,.545
16137,-.142,-.058,.564
16160,.192,-.152,.012
16176,.203,.032,-.036
16200,.123,.259,.002
16227,.117,.488,.288
16236,.111,.665,.306
16262,.040,.432,.180
16279,.148,.399,.251
16296,-.018,.391,.073
16318,-.035,.214,.163
16334,.065,.434,.285
16358,-.007,.208,.169
16380,.189,.195,.111
16401,.167,.212,.205
16427,.082,.064,-.130
16433,.120,.035,.061
16453,.186,.105,.199
16474,.211,.234,.046
16495,.173,.247,.150
16520,.191,.338,.145
16540,.211,.422,.141
16553,.113,.243,.141
16577,.183,.147,.169
16594,.216,.056,-.025
16614,.175,.080,-.019
16638,.214,-.012,.019
16658,.164,-.217,-.306
16672,.146,-.224,-.249
16695,.262,.077,-.218
16715,.035,-.095,-.248
16747,.136,-.052,-.309
16753,.098,-.023,-.160
16775,.122,.182,.044
16795,.093,.156,.093
16816,.136,.239,.140
16835,.030,.286,.149
16856,.018,.174,.116
16875,.062,.089,.251
16894,.053,.145,.409
16915,-.010,.001,.247
